"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","n","x_szintek","rho","loo_min","loo_max","r_normal_score","egyezes"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,0.8857,0.8,0.9,0.8592,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,0.6,0.3,0.9,0.6036,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,0.4286,0,0.7,0.4738,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0.4058,-0.0513,0.9747,0.4317,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,0.4629,0,0.7379,0.4989,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,0.4638,0.3078,0.6,0.381,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,0.5409,0.3536,0.7826,0.4947,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,0.3714,-0.1,0.7,0.4413,"egyezik az elődökkel"
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,-0.0588,-0.6156,0.4104,-0.0363,"semleges (|ρ| ≤ 0,1)"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,0.3143,-0.2,0.6,0.3966,"egyezik az elődökkel"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,0.6,0.3,0.8,0.6208,"egyezik az elődökkel"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,0.0857,-0.6,0.3,0.1987,"semleges (|ρ| ≤ 0,1)"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0.8117,0.6669,0.9,0.7903,"egyezik az elődökkel"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,0.4629,0,0.7379,0.4989,"egyezik az elődökkel"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,0.4638,0.1539,0.6,0.4216,"egyezik az elődökkel"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,0.5409,0.3536,0.7826,0.4947,"egyezik az elődökkel"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,-0.0857,-0.9,0.1,0.0282,"semleges (|ρ| ≤ 0,1)"
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,0.8827,0.7906,0.9747,0.8948,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,2,0.207,-0.3536,0.7071,0.2794,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,2,0.6211,0.3536,0.866,0.6283,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,2,0.207,-0.3536,0.7071,0.2794,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,2,0.8402,0.7255,0.8885,0.8192,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,2,0.6708,0.4082,0.7607,0.6857,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,2,0,-0.2962,0.2962,0,"semleges (|ρ| ≤ 0,1)"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,2,0.1225,-0.25,0.61240000000000006,0.0651,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,2,0.207,-0.3536,0.7071,0.2794,"egyezik az elődökkel"
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,2,0.8528,0.7255,0.9129,0.8313,"egyezik az elődökkel"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,-0.0857,-0.6,0.2,-0.0588,"semleges (|ρ| ≤ 0,1)"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,0.2,-0.1,0.7,0.1717,"egyezik az elődökkel"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,0.4857,0.1,0.8,0.4908,"egyezik az elődökkel"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0.058,-0.2,0.5643,0.02,"semleges (|ρ| ≤ 0,1)"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,0.0926,-0.4472,0.4472,0.1352,"semleges (|ρ| ≤ 0,1)"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,-0.2319,-0.6669,0.3591,-0.305,"ellentmond az elődöknek"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,-0.6761,-0.8944,-0.3536,-0.7098,"ellentmond az elődöknek"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,0.0857,-0.6,0.3,0.1815,"semleges (|ρ| ≤ 0,1)"
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,6,0,-0.527,0.3689,0,"semleges (|ρ| ≤ 0,1)"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,2,0,-0.2887,0.2887,0,"semleges (|ρ| ≤ 0,1)"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,2,-0.414,-0.866,-0.2887,-0.3489,"ellentmond az elődöknek"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,2,-0.6211,-0.866,-0.3536,-0.6283,"ellentmond az elődöknek"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,2,-0.4201,-0.8885,-0.2962,-0.3474,"ellentmond az elődöknek"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,2,-0.3354,-0.6455,0,-0.3429,"ellentmond az elődöknek"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,2,0.21,-0.3627,0.7255,0.282,"egyezik az elődökkel"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,2,0.3674,-0.25,0.7906,0.4141,"egyezik az elődökkel"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,2,-0.207,-0.7071,0.3536,-0.2794,"ellentmond az elődöknek"
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,2,-0.533,-0.7607,-0.1863,-0.5647,"ellentmond az elődöknek"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,2,-0.3928,-0.7071,-0.3536,-0.3364,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,2,0.1309,0,0.3536,0.105,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,2,-0.3928,-0.7071,-0.3536,-0.3364,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,2,0.3985,0.3536,0.7255,0.339,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,2,0.1414,0,0.4082,0.1092,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,2,0,-0.1814,0.1814,0,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,2,-0.3098,-0.3953,-0.25,-0.3031,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,2,-0.3928,-0.7071,-0.3536,-0.3364,"nincs tankönyvi irány"
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,2,0.5394,0.5441,0.7255,0.5257,"nincs tankönyvi irány"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,5,0.4638,0.0513,0.6669,0.61,"egyezik az elődökkel"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,5,0.6377,0.3591,0.9747,0.7349,"egyezik az elődökkel"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,5,-0.029,-0.8208,0.2052,0.0801,"semleges (|ρ| ≤ 0,1)"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,5,0.8235,0.6842,1,0.8776,"egyezik az elődökkel"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,5,0.7045,0.4443,0.8944,0.7548,"egyezik az elődökkel"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,5,0.2353,-0.3684,0.5263,0.3078,"egyezik az elődökkel"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,5,0.4287,0.1814,0.7071,0.3995,"egyezik az elődökkel"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,5,0.2029,-0.4104,0.4617,0.2738,"egyezik az elődökkel"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,5,0.612,0.3421,0.7906,0.546,"egyezik az elődökkel"
